,query,data
0,tensorrt-error-3-topklayer-h-22-error-code-3-api-usage-error,"I’m trying to convert an onnx model that was exported from tensorflow 2.11to a TRT engine.
I followed this colabI then downloaded and used tf2onnx to create an .onnx file as followThen I attempt to convert the test.onnx model to TRT engine using the following commandand got the following print in terminalTensorRT Version:  8.5
GPU Type:  Orin AGX
Nvidia Driver Version:
CUDA Version:
CUDNN Version:
Operating System + Version:  Docker Image nvcr.io/nvidia/l4t-tensorrt:r8.5.2.2-devel
Python Version (if applicable):
TensorFlow Version (if applicable):
PyTorch Version (if applicable):
Baremetal or Container (if container which image + tag):Please attach or include links to any models, data, files, or scripts necessary to reproduce your issue. (Github repo, Google Drive, Dropbox, etc.)test.onnxI ran the following command in terminalPlease include:Hi,The below links might be useful for you.This Best Practices Guide covers various performance considerations related to deploying networks using TensorRT 8.0.3. These sections assume that you have a model that is working at an appropriate level of accuracy and that you are able to...The programming guide to the CUDA model and interface.https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__STREAM.htmlFor multi-threading/streaming, will suggest you to use Deepstream or TRITONFor more details, we recommend you raise the query in Deepstream forum.orraise the query in Triton Inference Server Github instance issues section.Triton Inference Server has 29 repositories available. Follow their code on GitHub.Thanks!Powered by Discourse, best viewed with JavaScript enabled"
1,tensorrt-cuda-11-x-availability-for-sbsa-systems,"Hello, everyone!TensorRT 8.6 (EA and later GA) ARM SBSA section of the download page lists only CUDA 12.0 & Ubuntu 20.04.Should we expect availability of TensorRT builds for CUDA 11.8 later on?CuDNN and CUDA are both available in CUDA 11.8 variant for ARM SBSA.Hi,In case of TensorRT, we only support one CUDA major version for SBSA platform per release.Thank you.This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
2,tesla-v100-cuda-support,"Hi,I’m trying to utilize Tensorflow with CUDA for accelerated training.
GPU Model: Tesla V100 FHHL 16GB
I have installed CUDA and cuDNN using the run file and the copying the necessary libraries.CUDA 10.1, cuDNN 7.6
I get this error whenever I try to run the tensorflow CNN model:
Attempting to fetch value instead of handling error Internal: failed to get device attribute 13 for device 0: CUDA_ERROR_UNKNOWN: unknown error.NVIDIA-SMI give the following output:| NVIDIA-SMI 450.51.05    Driver Version: 450.51.05    CUDA Version: 11.0nvcc-V the following output:
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2019 NVIDIA Corporation
Built on Fri_Feb__8_19:08:17_PST_2019
Cuda compilation tools, release 10.1, V10.1.105Pls let tme know if this is a CUDA version mismatch or any other things need to be taken care of.Hi @anandshubham1998 ,
Can you please validate the CUDA installation steps from here and let us know.ThanksSo Tesla V100 do they have limitations on the CUDA, cuDNN compatibility? Can I install the latest CUDA and cuDNN test configurations for tensorflow?cuDNN8.1	CUDA11.2Powered by Discourse, best viewed with JavaScript enabled"
3,cudnn-8-samples-crash-with-illegal-instruction-error,"I just did a fresh install of CUDA-11.0 (Driver 450.51.06) together with cuDNN 8.0.5 on a machine with Ubuntu 18.04 LTS and a Titan RTX. Head of nvidia-smi:Running the CUDA samples works fine, but the cuDNN samples crash with an illegal instruction:Apart from the illegal instruction error, I’m confused that the times for cudnnGetConvolutionForwardAlgorithm_v7 are negative and fixed at -1.0.Does someone have a clue what is going on or knows how to debug this? If you need additional information about the system or output from another program, please let me know.Hi @meier.philip,
cudnnGet does not exercise any GPU code so there’s no measurement of each algo.
The illegal instruction seem to be related to CPU.Thanks!The illegal instruction seem to be related to CPU.True, but why? I built the cuDNN sample on the same machine I was running it. Doesn’t that mean that the build used an instruction that is not available on my CPU?Yes this might be related to compiler.  The compiler generates an instruction that is not available on your CPU.Hi @meier.philip did you solve your problem? I have exactly the same issue. I was wondering whether that was because of AVX instructions not available on my machine. I thought cudnn 8.05 did not require AVX. Any help would be greatly appreciated.Powered by Discourse, best viewed with JavaScript enabled"
4,can-i-use-maxine-sdk-when-i-use-linux-as-client-with-geforce-rtx-30xx,"Dear Maxine TeamI have a question.As according to Supported Hardware was posted on  “https://developer.nvidia.com/maxine-getting-started”, It says need a GPU for server such as V100, T4.Can I use maxine sdk when I use linux as client with GeForce RTX 30XX?regards,
Hoyeon.Yes. I’ve got the AigsEffectsApp running on Ubuntu 1804, with an GeForce RTX 3050 Ti Laptop GPU.NolanHello Nolan,did you do anything special to get it running on Ubuntu with your RTX card?Thank you!Hi Zeol!Are you having issues getting the SDKs running?Me too, I want to test on my ubuntu 18.04 system, my GPU is T4, but I have been applying for months from this link Project Maxine | Developer NVIDIA and it has not been approved.Hello zeol,Sorry, way late here. Yes, it’s now running on Ubuntu 20.04 with that GPU.NolanPowered by Discourse, best viewed with JavaScript enabled"
5,different-fp16-inference-behavior-on-four-gpus,"I have an onnx model exported from torchvision Faster-RCNN. When deploying the model using TensorRT-8.2’s trtexec, I obtained correct results under FP32, tested on four GPUs (namely, JetsonTX2-NX, RTX2080, RTX3060, RTX3080Ti). However, when switched to FP16 mode (i.e., --fp16), the results on JetsonTX2-NX and RTX2080 degrade equally and significantly from FP32, while RTX3060 and RTX3080Ti retain their accuracy.I installed and built trtexec on each device based on the same method. The CUDA versions on these devices are slightly different (e.g., CUDA10.x on JetsonTX2 and CUDA11.x on the other three devices). Since their FP32 results are all correct, I believe the slight differences in their CUDA, CUDNN, and OS versions did not cause the degradation under FP16.Instead, I am more inclined to belive that the issue is associated with the supported data type / precision on each device? I wonder if you have any explanation on this issue and perhaps some insights on how to address it?Many thanks in advance!TensorRT Version: 8.2.1.8
GPU Type: JetsonTX2-NX, RTX2080, RTX3060, RTX3080Ti
Nvidia Driver Version:
CUDA Version:  10 and 11
CUDNN Version: 8.6
Operating System + Version:  Ubuntu 18.04 / 20.04More than happy to provide my model via private messages. Also happy to provide detailed logs if needed (all four devices display different trtexec logs, which makes it quite difficult and potentially confusing to put here).Hi,Could you please let us know how big the divergence is between the devices?
Please share with us verbose logs and an issue repro.
Three of those devices are different generations with different hardware accelerations for FP16. That alone can cause some divergence, and even with a single device, building the same network twice can result in slightly different numerical accuracy.Thank you.Thank you for your response!It is perhaps more straightforward if I just focus on the problematic device here (i.e., Jetson TX2NX). The divergence between its FP32 and FP16 is highly significant (in my case the model is a detector, and the bounding boxes of FP16 are very poor).Through DM, I have shared with you my onnx model, TensorRT OSS source files (i.e., to build new libnvinfer_plugin.so, onnxparser, or even trtexec if needed), and a sampled image (.dat and .jpg). The OSS source files are needed as I had to include a custom plugin (I am using TensorRT-8.2.1.8 which doesn’t natively support RoiAlign in my model; the RoiAlign plugin was taken from a later version of TensorRT-OSS).Steps to reproduce:Build new shared libraries (.so) from the provided TensorRT-OSS files (following standard build steps).Update LD_LIBRARY_PATH to accommodate newly built .so files.Generate trt engine from the provided onnx model using the following commands:trtexec --onnx=model.onnx --loadInputs=“input0:test_image.dat” --dumpOutputtrtexec --onnx=model.onnx --loadInputs=“input0:test_image.dat” --dumpOutput --fp16The target device was a Jetson TX2NX. Outputs of the above two commands mismatch drastically (the first one corresponds to FP32 and is correct). I also provide you the verbose logs of the above two commands.Please help look into this matter and don’t hesitate to let me know if you seek more details. Thank you in advance!Hi,Sorry for the delayed response.
We could reproduce the same behavior.
Please allow us some time to work on this issue.Thank you.Powered by Discourse, best viewed with JavaScript enabled"
6,different-between-context-enqueue-enqueuev2-enqueuev3,"A clear and concise description of the bug or issue.TensorRT Version: 8
GPU Type: 2080Ti
Nvidia Driver Version: 470
CUDA Version: 11.4
CUDNN Version:
Operating System + Version:
Python Version (if applicable):
TensorFlow Version (if applicable):
PyTorch Version (if applicable):
Baremetal or Container (if container which image + tag):Can anyone explain for me: different between  context->enqueue,  enqueueV2,  enqueueV3 when use tensorrt inference. Which solution should I use?It appears all others except v3 are deprecated in the latest version TensorRT: nvinfer1::IExecutionContext Class Reference, but I don’t have any insight into why it was changed. I suppose the v3 API must be preferable in some way.enqueue, enqueueV2, enqueueV3Hi @vuminhduc9755 ,
enqueue: oldest api, support implicit batch, is deprecated.
enqueueV2: replacement of enqueue, support explict batch. is deprecated now.
enqueueV3: latest api, support data dependent shape, recommend to use now.Please check TensorRT: nvinfer1::IExecutionContext Class Reference for details.ThanksPowered by Discourse, best viewed with JavaScript enabled"
7,how-to-convert-yolov4-feature-vectors-to-bounding-boxes,"I implement object detection code for Yolov4 using tensorrt c++ pipeline. Although tensorrt c++ api is not user friendly at all, I managed to preprocess image and inference the model. I, however, have 3 outputs which are in shape of 18x52x52, 18x26x26 and 18x13x13. How can I convert these outputs to bounding boxes?For example my outputs for a person picture go like this: 0.103638 -0.646484 -0.632324 -0.922852 -0.981445 -0.602539 ... which has a size of 18x52x52 = 48672My guess is that I have to add layers at the end of the network to convert these vectors such as yolo plugins layers and some calculations layers but I couldn’t come up with an example.TensorRT Version: 8.6.1
GPU Type: Geforce 1650Ti
Nvidia Driver Version: 525.105.17
CUDA Version: 12.0
CUDNN Version:
Operating System + Version: Ubuntu 20.04
Python Version (if applicable): 3.10.9
TensorFlow Version (if applicable):
PyTorch Version (if applicable):
Baremetal or Container (if container which image + tag):Hi,Please refer to the following sample, which may help you:main/samples/python/yolov3_onnxNVIDIA® TensorRT™, an SDK for high-performance deep learning inference, includes a deep learning inference optimizer and runtime that delivers low latency and high throughput for inference applicat...Thank you.Powered by Discourse, best viewed with JavaScript enabled"
8,tensorrt-inference-is-taking-1-5-sec-to-inference-a-single-frame-i-want-to-speed-up-my-inference-how-can-i-do-that,"here is my tensorrt inference script.
with this script, inferencing one frame it is taking 1.5-sec which means 0.5fps. I want it t have a better fps.
I’m sharing my script below.particularly,context.execute(batch_size=1, bindings=[int(d_input_1), int(d_output)])
this line is taking 1.4sec to runimport tensorrt as trt
import pycuda.driver as cuda
import pycuda.autoinit
import numpy as npdef allocate_buffers(engine, batch_size, data_type):“”""
This is the function to allocate buffers for input and output in the device
Args:
engine : The path to the TensorRT engine.
batch_size : The batch size for execution time.
data_type: The type of the data for input and output, for example trt.float32.Output:
h_input_1: Input in the host.
d_input_1: Input in the device.
h_output_1: Output in the host.
d_output_1: Output in the device.
stream: CUDA stream.“”""h_input_1 = cuda.pagelocked_empty(batch_size * trt.volume(engine.get_binding_shape(0)), dtype=trt.nptype(data_type))
h_output = cuda.pagelocked_empty(batch_size * trt.volume(engine.get_binding_shape(1)), dtype=trt.nptype(data_type))d_input_1 = cuda.mem_alloc(h_input_1.nbytes)d_output = cuda.mem_alloc(h_output.nbytes)stream = cuda.Stream()
return h_input_1, d_input_1, h_output, d_output, streamdef load_images_to_buffer(pics, pagelocked_buffer):preprocessed = np.asarray(pics).ravel()
np.copyto(pagelocked_buffer, preprocessed)def do_inference(engine, pics_1, h_input_1, d_input_1, h_output, d_output, stream, batch_size, height, width):“”""
This is the function to run the inference
Args:
engine : Path to the TensorRT engine.
pics_1 : Input images to the model.
h_input_1: Input in the host.
d_input_1: Input in the device.
h_output_1: Output in the host.
d_output_1: Output in the device.
stream: CUDA stream.
batch_size : Batch size for execution time.
height: Height of the output image.
width: Width of the output image.Output:
The list of output images.“”""load_images_to_buffer(pics_1, h_input_1)with engine.create_execution_context() as context:cuda.memcpy_htod_async(d_input_1, h_input_1, stream)Hi,
Can you try running your model with trtexec command, and share the “”–verbose"""" log in case if the issue persistmaster/samples/trtexecNVIDIA® TensorRT™, an SDK for high-performance deep learning inference, includes a deep learning inference optimizer and runtime that delivers low latency and high throughput for inference applicat...You can refer below link for all the supported operators list, in case any operator is not supported you need to create a custom plugin to support that operationAlso, request you to share your model and script if not shared already so that we can help you better.Meanwhile, for some common errors and queries please refer to below link:This is the revision history of the NVIDIA TensorRT 8.5 Developer Guide.This is the revision history of the NVIDIA TensorRT 8.5 Developer Guide.Thanks!Here is my trtexec output,please check&&&& RUNNING TensorRT.trtexec [TensorRT v8201] # trtexec --loadEngine=unethalf_engine.engine --shapes=modelInput:137201280
[03/13/2023-18:55:38] [I] === Model Options ===
[03/13/2023-18:55:38] [I] Format: *
[03/13/2023-18:55:38] [I] Model:
[03/13/2023-18:55:38] [I] Output:
[03/13/2023-18:55:38] [I] === Build Options ===
[03/13/2023-18:55:38] [I] Max batch: explicit batch
[03/13/2023-18:55:38] [I] Workspace: 16 MiB
[03/13/2023-18:55:38] [I] minTiming: 1
[03/13/2023-18:55:38] [I] avgTiming: 8
[03/13/2023-18:55:38] [I] Precision: FP32
[03/13/2023-18:55:38] [I] Calibration:
[03/13/2023-18:55:38] [I] Refit: Disabled
[03/13/2023-18:55:38] [I] Sparsity: Disabled
[03/13/2023-18:55:38] [I] Safe mode: Disabled
[03/13/2023-18:55:38] [I] DirectIO mode: Disabled
[03/13/2023-18:55:38] [I] Restricted mode: Disabled
[03/13/2023-18:55:38] [I] Save engine:
[03/13/2023-18:55:38] [I] Load engine: unethalf_engine.engine
[03/13/2023-18:55:38] [I] Profiling verbosity: 0
[03/13/2023-18:55:38] [I] Tactic sources: Using default tactic sources
[03/13/2023-18:55:38] [I] timingCacheMode: local
[03/13/2023-18:55:38] [I] timingCacheFile:
[03/13/2023-18:55:38] [I] Input(s)s format: fp32:CHW
[03/13/2023-18:55:38] [I] Output(s)s format: fp32:CHW
[03/13/2023-18:55:38] [I] Input build shape: modelInput=1+1+1
[03/13/2023-18:55:38] [I] Input calibration shapes: model
[03/13/2023-18:55:38] [I] === System Options ===
[03/13/2023-18:55:38] [I] Device: 0
[03/13/2023-18:55:38] [I] DLACore:
[03/13/2023-18:55:38] [I] Plugins:
[03/13/2023-18:55:38] [I] === Inference Options ===
[03/13/2023-18:55:38] [I] Batch: Explicit
[03/13/2023-18:55:38] [I] Input inference shape: modelInput=1
[03/13/2023-18:55:38] [I] Iterations: 10
[03/13/2023-18:55:38] [I] Duration: 3s (+ 200ms warm up)
[03/13/2023-18:55:38] [I] Sleep time: 0ms
[03/13/2023-18:55:38] [I] Idle time: 0ms
[03/13/2023-18:55:38] [I] Streams: 1
[03/13/2023-18:55:38] [I] ExposeDMA: Disabled
[03/13/2023-18:55:38] [I] Data transfers: Enabled
[03/13/2023-18:55:38] [I] Spin-wait: Disabled
[03/13/2023-18:55:38] [I] Multithreading: Disabled
[03/13/2023-18:55:38] [I] CUDA Graph: Disabled
[03/13/2023-18:55:38] [I] Separate profiling: Disabled
[03/13/2023-18:55:38] [I] Time Deserialize: Disabled
[03/13/2023-18:55:38] [I] Time Refit: Disabled
[03/13/2023-18:55:38] [I] Skip inference: Disabled
[03/13/2023-18:55:38] [I] Inputs:
[03/13/2023-18:55:38] [I] === Reporting Options ===
[03/13/2023-18:55:38] [I] Verbose: Disabled
[03/13/2023-18:55:38] [I] Averages: 10 inferences
[03/13/2023-18:55:38] [I] Percentile: 99
[03/13/2023-18:55:38] [I] Dump refittable layers:Disabled
[03/13/2023-18:55:38] [I] Dump output: Disabled
[03/13/2023-18:55:38] [I] Profile: Disabled
[03/13/2023-18:55:38] [I] Export timing to JSON file:
[03/13/2023-18:55:38] [I] Export output to JSON file:
[03/13/2023-18:55:38] [I] Export profile to JSON file:
[03/13/2023-18:55:38] [I]
[03/13/2023-18:55:38] [I] === Device Information ===
[03/13/2023-18:55:38] [I] Selected Device: NVIDIA Tegra X1
[03/13/2023-18:55:38] [I] Compute Capability: 5.3
[03/13/2023-18:55:38] [I] SMs: 1
[03/13/2023-18:55:38] [I] Compute Clock Rate: 0.9216 GHz
[03/13/2023-18:55:38] [I] Device Global Memory: 3964 MiB
[03/13/2023-18:55:38] [I] Shared Memory per SM: 64 KiB
[03/13/2023-18:55:38] [I] Memory Bus Width: 64 bits (ECC disabled)
[03/13/2023-18:55:38] [I] Memory Clock Rate: 0.01275 GHz
[03/13/2023-18:55:38] [I]
[03/13/2023-18:55:38] [I] TensorRT version: 8.2.1
[03/13/2023-18:55:40] [I] [TRT] [MemUsageChange] Init CUDA: CPU +229, GPU +0, now: CPU 289, GPU 2525 (MiB)
[03/13/2023-18:55:40] [I] [TRT] Loaded engine size: 41 MiB
[03/13/2023-18:55:41] [I] [TRT] [MemUsageChange] Init cuBLAS/cuBLASLt: CPU +158, GPU +160, now: CPU 448, GPU 2686 (MiB)
[03/13/2023-18:55:42] [I] [TRT] [MemUsageChange] Init cuDNN: CPU +240, GPU +243, now: CPU 688, GPU 2929 (MiB)
[03/13/2023-18:55:42] [I] [TRT] [MemUsageChange] TensorRT-managed allocation in engine deserialization: CPU +0, GPU +41, now: CPU 0, GPU 41 (MiB)
[03/13/2023-18:55:42] [I] Engine loaded in 4.66617 sec.
[03/13/2023-18:55:42] [I] [TRT] [MemUsageChange] Init cuBLAS/cuBLASLt: CPU +0, GPU +0, now: CPU 647, GPU 2887 (MiB)
[03/13/2023-18:55:42] [I] [TRT] [MemUsageChange] Init cuDNN: CPU +0, GPU +0, now: CPU 647, GPU 2887 (MiB)
[03/13/2023-18:55:42] [I] [TRT] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +192, now: CPU 0, GPU 233 (MiB)
[03/13/2023-18:55:42] [I] Using random values for input modelInput
[03/13/2023-18:55:43] [I] Created input binding for modelInput with dimensions 1x3x720x1280
[03/13/2023-18:55:43] [I] Using random values for output modelOutput
[03/13/2023-18:55:43] [I] Created output binding for modelOutput with dimensions 1x1x720x1280
[03/13/2023-18:55:43] [I] Starting inference
[03/13/2023-18:56:00] [I] Warmup completed 1 queries over 200 ms
[03/13/2023-18:56:00] [I] Timing trace has 10 queries over 14.5163 s
[03/13/2023-18:56:00] [I]
[03/13/2023-18:56:00] [I] === Trace details ===
[03/13/2023-18:56:00] [I] Trace averages of 10 runs:
[03/13/2023-18:56:00] [I] Average on 10 runs - GPU latency: 1450.18 ms - Host latency: 1451.62 ms (end to end 1451.63 ms, enqueue 13.3297 ms)
[03/13/2023-18:56:00] [I]
[03/13/2023-18:56:00] [I] === Performance summary ===
[03/13/2023-18:56:00] [I] Throughput: 0.68888 qps
[03/13/2023-18:56:00] [I] Latency: min = 1445.93 ms, max = 1456.88 ms, mean = 1451.62 ms, median = 1451.2 ms, percentile(99%) = 1456.88 ms
[03/13/2023-18:56:00] [I] End-to-End Host Latency: min = 1445.94 ms, max = 1456.9 ms, mean = 1451.63 ms, median = 1451.22 ms, percentile(99%) = 1456.9 ms
[03/13/2023-18:56:00] [I] Enqueue Time: min = 2.87402 ms, max = 17.4658 ms, mean = 13.3297 ms, median = 13.9668 ms, percentile(99%) = 17.4658 ms
[03/13/2023-18:56:00] [I] H2D Latency: min = 1.07715 ms, max = 1.08496 ms, mean = 1.08086 ms, median = 1.08057 ms, percentile(99%) = 1.08496 ms
[03/13/2023-18:56:00] [I] GPU Compute Time: min = 1444.49 ms, max = 1455.45 ms, mean = 1450.18 ms, median = 1449.76 ms, percentile(99%) = 1455.45 ms
[03/13/2023-18:56:00] [I] D2H Latency: min = 0.355469 ms, max = 0.358398 ms, mean = 0.357129 ms, median = 0.357422 ms, percentile(99%) = 0.358398 ms
[03/13/2023-18:56:00] [I] Total Host Walltime: 14.5163 s
[03/13/2023-18:56:00] [I] Total GPU Compute Time: 14.5018 s
[03/13/2023-18:56:00] [I] Explanations of the performance metrics are printed in the verbose logs.
[03/13/2023-18:56:00] [I]
&&&& PASSED TensorRT.trtexec [TensorRT v8201] # trtexec --loadEngine=unethalf_engine.engine --shapes=modelInput:137201280Hello @kalyanichagala11 ,
Have you tried model quantization? You can check it here. And more info about how it works here. You can do fp16 and int8, however support for both as well as the final speed up depends heavily on the hardware. Also when doing quatization try to benchmark the model accuracy before and after to see if there are noticiable accuracy losses.Regards,
Andres
Embedded SW Engineer at RidgeRun
Contact us: support@ridgerun.com
Developers wiki: https://developer.ridgerun.com/
Website: www.ridgerun.comPowered by Discourse, best viewed with JavaScript enabled"
9,cannot-use-cudnn-past-8-4-1,"Working with the Darknet/YOLO framework.  If using CUDNN v8.4.1 or older, everything is fine.  If we use CUDNN v8.5.0 or newer, Darknet crashes during training while calculating the mAP%.I’m looking through someone else’s code trying to understand.  At the stage where it fails, it logs this:Anyone familiar with the changes that happened in CUDNN between 8.4.1 and 8.5.0 that might shed some light on this?The file in question, line 735, is a call to cudaStreamSynchronize():  darknet/network_kernels.cu at master · AlexeyAB/darknet · GitHub(CUDNN error at training iteration 1000 when calculating mAP% · Issue #8669 · AlexeyAB/darknet · GitHub)One of the things I’m seeing in the 8.5.0 release notes is this text:A buffer was shared between threads and caused segmentation faults. There was previously no way to have a per-thread buffer to avoid these segmentation faults. The buffer has been moved to the cuDNN handle. Ensure you have a cuDNN handle for each thread because the buffer in the cuDNN handle is only for the use of one thread and cannot be shared between two threads.This looks promising.  If the different threads didn’t have unique cuDNN handles and previously shared one, would this cause a the error we’re seeing, “an illegal memory access was encountered”?What API do I need to search for that would show where threads obtain a cuDNN handle?Hi @stephanecharette ,
Apologies for delayed response.
Can you please try running your workload with compute-sanitizer to get the kernel causing the IMA.
If it’s a cuDNN kernel, plesae create a cuDNN API log: Developer Guide - NVIDIA Docs and share it with us.ThanksPowered by Discourse, best viewed with JavaScript enabled"
