,query,data
0,debugging-a-mixed-python-and-c-language-stack,"Originally published at:			https://developer.nvidia.com/blog/debugging-mixed-python-and-c-language-stack/
Debugging is difficult. Debugging across multiple languages is especially challenging, and debugging across devices often requires a team with varying skill sets and expertise to reveal the underlying problem.  Yet projects often require using multiple languages, to ensure high performance where necessary, a user-friendly experience, and compatibility where possible. Unfortunately, there is no single programming…Powered by Discourse, best viewed with JavaScript enabled"
1,new-deep-learning-based-denoising-model-improves-microscopy-images-by-16x,"Originally published at:			New Deep Learning-Based Denoising Model Improves Microscopy Images by 16x | NVIDIA Technical Blog
To help accelerate microscopic systems, researchers from the Salk Institute, the University of Texas at Austin, fast.AI, and others, developed a new AI-based microscopy approach that has the potential to make microscopic techniques used for brain imaging 16 times faster.  “Point scanning imaging systems are perhaps the most widely used tools for high-resolution cellular and…Powered by Discourse, best viewed with JavaScript enabled"
2,guide-to-computer-vision-why-it-matters-and-how-it-helps-solve-problems,"Originally published at:			https://developer.nvidia.com/blog/guide-to-computer-vision-why-it-matters-and-how-it-helps-solve-problems/
This post unpacks the term computer vision. It answers how it works, explores common tasks and use cases, and invites you to get started.The human vision system is a wonder!  By design, computer vision is a marvel, a technology software developers and data scientists are using to enable and enhance existing and emerging industry applications.  What types of real-world problems and solutions are you developing with computer vision?  Have an interesting project?  Share here or write us at cv-dev@nvidia.com.Powered by Discourse, best viewed with JavaScript enabled"
3,winning-team-sets-record-at-sc16-student-cluster-competition,"Originally published at:			Winning Team Sets Record at SC16 Student Cluster Competition | NVIDIA Technical Blog
A team from the University of Science and Technology of China (USTC) used 16 NVIDIA GPUs to pull off an SC first, winning both the first place prize for highest overall score and the highest LINPACK run at the SC16 supercomputing show in Salt Lake City, Utah. Held every at the annual SC conference, teams…Powered by Discourse, best viewed with JavaScript enabled"
4,detecting-obstacles-and-drivable-free-space-with-radarnet,"Originally published at:			https://developer.nvidia.com/blog/detecting-obstacles-and-drivable-free-space-with-radarnet/
Detecting drivable free space is key for robust AV perception. RadarNet DNN is an AI-based free space detection system using only radar detections as an input.Powered by Discourse, best viewed with JavaScript enabled"
5,accelerating-digital-pathology-workflows-using-cucim-and-nvidia-gpudirect-storage,"Originally published at:			https://developer.nvidia.com/blog/accelerating-digital-pathology-workflows-using-cucim-and-nvidia-gpudirect-storage/
Learn how GPU-accelerated toolkits improve the input/output performance and image processing tasks for digital pathology workflows.Use of AI in Whole Slide Imaging (WSI) applications is growing. Please share what I/O or computational bottlenecks that you encounter in your use cases for digital pathology.Powered by Discourse, best viewed with JavaScript enabled"
6,cybersecurity-workshops-at-gtc-2022,"Originally published at:			Conference Session Catalog | GTC 2022 | NVIDIA
Discover the latest cybersecurity tools and trends with NVIDIA Deep Learning Institute workshops at GTC 2022.Powered by Discourse, best viewed with JavaScript enabled"
7,creating-3d-visualizations-from-x-ray-data-with-deep-learning,"Originally published at:			https://developer.nvidia.com/blog/creating-3d-visualizations-from-x-ray-data-with-deep-learning/
Using AI researchers have developed a new method for turning X-ray data into 3D visualizations, hundreds of times faster than traditional methods.In case this forum is still open, is this technology applicable to creating 3D visualizations from medical x-rays that visualize the structure of the body from  anterior-posterior and lateral views?@momentumhealth  – That would be a great question for the original researcher team!Powered by Discourse, best viewed with JavaScript enabled"
8,new-on-ngc-simplify-and-unify-biomedical-analytics-with-vyasa,"Originally published at:			https://developer.nvidia.com/blog/new-on-ngc-simplify-and-unify-biomedical-analytics-with-vyasa/
Vyasa, a leading provider of tools in the field of biomedical analytics, developed a suite of products that efficiently integrate with existing compute infrastructure via an extensive RESTful API architecture.Powered by Discourse, best viewed with JavaScript enabled"
9,streamlining-kubernetes-networking-in-scale-out-gpu-clusters-with-the-new-nvidia-network-operator-1-0,"Originally published at:			https://developer.nvidia.com/blog/streamlining-kubernetes-networking-in-scale-out-gpu-clusters-with-the-new-nvidia-network-operator-1-0/
NVIDIA EGX contains the NVIDIA GPU Operator and the new NVIDIA Network Operator 1.0 to standardize and automate the deployment of all the necessary components for provisioning Kubernetes clusters. Now released for use in production environments, the NVIDIA Network Operator makes Kubernetes networking simple and effortless for bringing AI to the enterprise.Powered by Discourse, best viewed with JavaScript enabled"
