,query,data
0,post-is-hidden,"My post
https://devtalk.nvidia.com/default/topic/1047379/unsupported-cuda-driver-version-10010/?offset=1
is hidden.Please make it public.Why is my account blocked like this?Hi,The system blocked your account for some reason. You should be good to go now.Best,
TomSame. Looking for assistance.Hi Jase,Your account has been unblocked.Cheers,
TomHello!
Please unblock my account. My posts are hidden. It really hinders me to work.Sergei@sergey.bilenko, Your account has been unblocked.Best,
TomHello,
I have the same issue (hidden posts), could you resolve it, please.@nickkl,You are good to go.Cheers,
TomI have the same issue, please resolve it, please!Hi plainwu4l4bb,I do not see any other posts created under your name. Can you provide the topic title or URL?Thanks,
TomHijacking this topic, apparently mine got hidden as well https://devtalk.nvidia.com/default/topic/1055743/optix/problem-with-turning-off-rtx-mode-on-gtx-1080/Would be great if someone could unblock me as well.Thanks in advance,
DavidI have the same issue, [url]https://devtalk.nvidia.com/default/topic/1065388/deepstream-sdk/save-output-video-for-deepstream-4-0-1/post/5395061/#5395061[/url]Powered by Discourse, best viewed with JavaScript enabled"
1,unusable-on-mobile,"This website is very nearly completely unusable on mobile. As somebody who is on a mobile device at least half the  day, this is very frustrating. Please use some alternative forum software.Hi mdegans,Thanks for the feedback.
I totally agree with you. This is one of the top issues that I am looking to address in the next redesign.Best,
TomThanks!Powered by Discourse, best viewed with JavaScript enabled"
2,driver-error-471-11,"Hi!When I update to the latest version of the driver my resolution drops to 640 * 480 using displayport.
This problem happened to me in windows 10 and windows 11.Does not recognize the monitor and windows configuration  show:
Desktop mode  640480 60 hz
Active signal mode 640480 60 hz
Bit depth 6-bit
Color format RGB
Color space Standar dynamic range (SDR)The solution I found was to try different versions and with 466.47-desktop-win10-64bit-international-dch-whql it works well
2 - 471.11-desktop-win10-64bit-international-dch-whql780×479 73.3 KB
With 466.47 in  Nvidia Control Panel - Display show well  my two monitors and does not stay with NVIDIA Digital …I doing something wrong or is there a bug in the new drivers?Spec:
2 monitor: Samsung C27f390 x HDMI and Aorus FI27Q DisplayPort.
EVGA GeForce RTX 3080 XC3 ULTRA GAMING
CPU: Intel i7 9700k
MB: Z390 Aorus Ultra
RAM: 32 GB
PW: EVGA 750 GQHi @lcanavesio,Welcome to the NVIDIA Developers forums. This feedback forum is for reporting community related issues and offers no gaming support. This sounds like a consumer issue best posted in the GeForce forums.Get the support you need.Hi @TomNVIDIAI contacted the nvidia support via chat and they solved the problem for me. They created a hot fix of the driver and there my problem was solved  - ""Some displays screen resolution limited to 640x480 after driver update [3330750] ""https://nvidia.custhelp.com/app/answers/detail/a_id/5212I’m super happy to hear that! Thanks for sharing.This topic was automatically closed 60 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
3,sdk-manager-login-problem,"I have created three different accounts and none of the three have access to the SDK Manager (attached screenshot):Everything You Need to Set Up Your Development Environment NVIDIA SDK Manager provides an end-to-end development environment setup solution for NVIDIA’s DRIVE, Jetson, Holoscan, Rivermax, DOCA and Ethernet Switch SDKs for both host and target...
Screenshot from 2022-05-13 07-40-12987×623 331 KB
I downloaded the latest version NVIDIA SDK Manager 1.8:Everything You Need to Set Up Your Development Environment NVIDIA SDK Manager provides an end-to-end development environment setup solution for NVIDIA’s DRIVE, Jetson, Holoscan, Rivermax, DOCA and Ethernet Switch SDKs for both host and target...Hello,Welcome to the NVIDIA Developer forums. I will have the team look into this and get back to you.Thanks,
Tom KTo help us troubleshoot your issue, can you please share the log files from ~/.nvsdkm folder?Hello @augusto.hernandez.elvira,Are you still having issues?Everything is correct now, I have tried a different Email address.We can close this post…Thank you very much!Happy to hear!Cheers,
Tom KPowered by Discourse, best viewed with JavaScript enabled"
4,welcome-to-our-mellanox-customers,"Hello Mellanox customers,Welcome to the NVIDIA Forums! If this is your first time here, we recommend that you create a new account. Users of the old Mellanox forums will need to create accounts to allow posting. Mellanox users should use the same email address that was used in the old forums, this allows us to link your past activity to your new profile.To register and create your account, please go to https://developer.nvidia.com/ and click “Join”.Once registered, you will have access to the forums. Please read this user guide to learn more about the new platform and features.We hope you like the new forums. Please post your comments or suggestions in the Forum Feedback category.Powered by Discourse, best viewed with JavaScript enabled"
5,teach-me-please-change-the-tdp,"Hello.I am planning to use Geforce3090. How can I change the TDP?Hello,Welcome to the NVIDIA Developer forums. This category is for posting forum platform issues and offers no support. I suggest posting this over in the Geforce forums.https://www.nvidia.com/en-us/geforce/forums/discover/Best,
TomThis topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
6,how-can-i-delete-a-topic-or-delete-the-history-of-the-modification,"Hello, I want to delete a topic or delete the history of the modification, I have got some troubles.Hello,Please provide the link to your topic that you wish deleted. I can then take care of this for you.Thanks,
TomI need delete the history information of the one modify onlyI need delete the history information of the one modify onlyJust to be clear, are you asking me to delete the entire original post by you?Thanks,
TomYes, if you can.
Thanks very much.The topic has been deleted.Regards,
TomThis topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
7,awesome-job-with-the-new-forums,"I have not been very active here (sorry), asked for help on something recently, just wanted to say the new forum design is awesome – great work with the refresh!  Spent a little while looking around after the post, it’s very fluid / modern.  I do have a bit of nostalgia for the old forums of course, but love what you all did here!If you’re looking for possible areas of improvement (that are by no means any real priority hehe)Hi Stephen,Thanks for the feedback and for being a longtime member. We will certainly consider your suggestions in future platform updates.Best,
TomPowered by Discourse, best viewed with JavaScript enabled"
8,separator-typos-in-sdk-manager-guidelines,"Hi,
As in sdkm docker doc, – - _ are used incorrectly.Such as,

nv_site_191147×747 94.3 KB
And,

nv_site_201517×559 46.9 KB
Sorry for the delay in replying, but this should now be fixed.
Please let me know if any issues persist.ThanksIt’s not fixed. I checked it just now. You can check it again. The URL is in the begening of this thread.I checked it today. It’s fixed now. Thanks!Great! Thanks for the confirmation.There was a cache clear issue on docs.nvidia.com, so it’s updated correctly after cache cleared.This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
9,retraining-trafficcamnet,"Hi. I am interested in re training of trafficcamnet for own data set. can any 1 help me for the same. ThanksHi,Welcome to the NVIDIA Developer forums! You posted in the community feedback section, unfortunately, there is no support in this category. Please tell me what service or product your issue is related to, and I will move your topic there.Thanks,
TomPowered by Discourse, best viewed with JavaScript enabled"
10,sdk-manager-blocked,"Hello,I’m blocked out of the SDK manager and it says to check my mail but I don’t have any messages. Can I please get unblocked?Hello @TylerMG26,Please make sure you are using the latest version of the SDKM.Best regards,
Tom KThis topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
11,sdk-manager-locked-and-didn-t-receive-the-mail-to-unlock-it,"Hi.
SDK Manager locked and not get receive the mail to unlock it.SDK Manager login message “The account is blocked. Check your mail to unblock”
Please help.
Thanks.Hi @KatouMegumi,Welcome to the NVIDIA Developer forums. We are looking into your account now, please stand by.Thanks for your patience,
TomThis is fixed. Please try now.Thanks,
TomHi @TomNVIDIANow it works,
Thanks.
KatouPowered by Discourse, best viewed with JavaScript enabled"
12,ghosted-post-about-tdr-crash-fix,"Hello. I have posted a serious post about TDR crash fix and it’s ghosted, can some moderator check it and unghost? Please delete this message after doing that, thanksHi @itd-gaming,Welcome to the NVIDIA Developer forums! Looks like this was resolved.
Let me know if you still have issues with your post.Best,
Tom KThis topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
13,usage-limit-error-in-dli,"Dear Nvidia community,
I started with NVIDIA paid Course: "" Getting started with deep learning""
I just finished a third of the material. I can’t start the laboratory now and I get a pop-up window error: "" Usage Limit You have exhausted the lab time provided with your course enrollment.""Course: Getting started with deep LearningWould it be possible to add some extra time to finish the course?Thanks in advance!!Hello,Welcome to the NVIDIA forums! I have granted you additional time, let me know if you have any issues accessing the course.Cheers,
TomHi,Thank you for granting me additional time!I am stuck on the final assessment for the same course and was wondering if you could grant me more time…
The error is the same, "" Usage Limit You have exhausted the lab time provided with your course enrollment.""Course… getting started with deep learningThanks in advance!!Hi, You have two more hours now.Best of luck,
TomThank you so much!!!Powered by Discourse, best viewed with JavaScript enabled"
