,query,data
0,audio-videos-streaming-sample,"Hi,Are there any reference apps that showcase low latency audio and video streaming from one Jetson to another?Hello, are you more interested in Jetson devices? In which case the Jetson forums might be more helpful Jetson & Embedded Systems - NVIDIA Developer ForumsFor the Clara Holoscan SDK which is supported on Clara devkits and x86 machines, we can find the sample apps at clara-holoscan-embedded-sdk/apps at main · NVIDIA/clara-holoscan-embedded-sdk · GitHub and documentation for the sample apps at Clara Holoscan Sample Applications — Clara Holoscan 0.3.0 documentation.Yes, but which sample app showcases the low latency audio and video streaming?
Could not find it.Currently the Clara Holoscan SDK is only supported on Clara AGX devkit, NVIDIA IGX Orin devkit, and x86 workstations. Could you confirm that you are using one of the hardware options? The SDK is not currently supported on Jetson.All the sample app (endoscopy_tool_tracking/_gxf, hi_speed_endoscopy, ultrasound_segmentation/_gxf) would showcase low latency video streaming, please see their documentation. Is there a functionality in particular you’re looking for?Powered by Discourse, best viewed with JavaScript enabled"
1,how-does-parabricks-pipelines-perform-data-cleaning,"Hello, we are trying to use pbrun to receive the off-machine data-NextSeq550AR, and generally clean up the data, such as using fastQC and Trimmomatic software, when using BWA-men for mapping, do you need to do this when using pbrun?Hi,None of fastQC nor Trimmomatic is included.
You will still need to clean your data using this software before using Parabricks.Regards,
MyriemePowered by Discourse, best viewed with JavaScript enabled"
2,help-with-installation,"I’m trying to follow this guide NVIDIA Clara Parabricks on the AWS Cloud to run parabricks on AWS.I pulled the docker image and don’t know what to do next. In the instruction, it says ‘sudo parabricks/installer.py’
but where can I find the installer.py script?I can skip this step and pull the image from AWS but how can I request for the trial license instead?Does anyone run into this situation like me? Please help me on thisHello,For the newest version of Parabricks you can follow this guide
https://docs.nvidia.com/clara/parabricks/4.1.0/tutorials/cloudguides/aws.htmlBestthanks, is there a trial license for Parabricks or I have to pay everytime I run deepvariant on parabricks? ThanksThe latest version of Parabricks no longer requires a license to run itI followed exactly the tutorial in Running Parabricks on AWS - NVIDIA Docs, creating instance with ‘g4dn.4xlarge’. When I execute the command to run pbrun germline, I received this error complaining that my GPU does not have enough of RAM.This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
3,singularity-image,"Hi, I just received a license key for the 90-day COVID research Parabricks package. We have a multi-user cluster on which we run Singularity rather than Docker containers, due to security issues. Is it possible to get Parabricks as a Singularity container? Or would you recommend that I try to build a Singularity container from the provided Docker image myself?
Thanks for any suggestions.Hello Susan,Glad to hear you’ve received the 90-day COVID Parabricks package and we certainly appreciate your work to advance this research. For Singularity; you have a few options:1 - If you have docker image of Parabricks, the Singularity container will be created using this image and so you won’t need sudo access.
2 - If the Singularity container will be created using the definition file than you need sudo access. If you need to use singularity but the machine you want to use does not have Docker and you do not have sudo access, the thing that can be done, is a local installation on another machine where you have sudo access and Singularity 3 or above installed. Follow for that the instructions provided at NVIDIA Clara Documentation) , or for convenience, as follows:# 1- Log in to a machine with sudo access and singularity 3.0 or higher.# 2- To download the software:$ wget -O parabricks. tar .gz  "" < DOWNLOAD_LINK > ""# 3- Unzip the package$  tar -xvzf parabricks. tar .gz# 4- Do a local installation:$ mkdir localdir$  sudo . /parabricks/installer .py -- install -location localdir --container singularity# 5- Everything will be installed in localdir/parabricks folder. Tar this folder.$  cd localdir$  tar -cvzf parabricks_install. tar .gz parabricks# 6- and copy it to the node which will be used for testing and has singularity v3.x.# 7- Untar the tar.gz file in some <INSTALL_DIR>$ cd <INSTALL_DIR>$  tar -xvzf parabricks_install. tar .gzPowered by Discourse, best viewed with JavaScript enabled"
4,parabricks3-7-a100-cudasafecall-failed-at-parabricks-src-mem-chain-kernel-cu-136-invalid-device-symbol,"Hi there,I am running pbrun with an A100 on a supernode, and I am getting the following error. How do we solve this case?The error is:base on the docker image nvidia/cuda:11.2.0-cudnn8-devel-ubuntu18.04Hey @tj_tsaiThanks for all the information. Parabricks has two installation paths, one for non-ampere devices, and one for ampere devices. It looks like your installation is built for the non-ampere version, but you do have ampere hardware. This is an easy fix. If you re-run your installer, but this time with the --ampere flag, this should fix your issue.Let me know if you still run into issues. Thanks!Hey @gburnett ,
We have solved it. Thank you for your help.Before: parabricks.deb
After: parabricks-ampere.debThe following documentation does not mention the Ampere version nor does it require the user to install Ampere versionNode Locked License, Debian Package Installation

image1248×869 84.3 KB
And we also didn’t notice the Ampere version since the word Ampere is covered.
Nvidia Clara Parabricks Bare Metal Debian Package

Screenshot from 2022-05-06 18-22-151022×597 30.6 KB
This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
5,unauthorized-authentication-required,"I just begin to install the Parabicks with the trial installer package, but failed with an “unauthorized” error.But I can download the image manually with docker pull.Hey @lkuang,Can you send the exact command you used to install?Thanks,
Gary BurnettI have several tries, like:
sudo ./parabricks/installer.py,
sudo ./parabricks/installer.py --ampere
orPS: I test on a DGX-A100 Station.Hey @lkuang ,This might be an issue with the version of the installer you are using. You might be using an older version of the installer. Do you know when you downloaded this one? I would recommend downloading the latest one from NGC if you haven’t.Hi Gary,I download the latest version, and install it again. But the error is the same.
image1504×625 144 KB
Hi @gburnett,The “Unautherized” error is passed by used specified intallation director option  “–install-location” .However, now there this a “GPG error”, which I think is related with recent GPG repository updateing and still not be managed now.Hi @lkuang,We are working on pushing a new package with a fix for the GPG repo. It should be out very soon. Thank you for your patience.Hey @lkuang ,The new version is up on NGC and you can access it by downloading the most recent version.Thank you.This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
6,error-accessing-s3-bucket-with-parabricks,"Hi, first time using Parabricks and I’m hitting an error when running a deepvariant_germline pipeline configured to write the output files to an S3 bucket.  I have parabricks running in an AWS ec2 instance (from the AWS marketplace) and can run the pipeline successfully on the instance using the sample data provided in the tutorials.Command I am running:The error:Traceback:The ec2 instance has an IAM role giving it access to the bucket, and I have confirmed that I can copy files from the instance to the S3 bucket with the aws cli, but the parabricks command is not allowing the output paths to be S3 paths, even though the documentation indicates an S3 output path can be used.If anyone has suggestions of what I am missing please let me know, thanks!Hey @alec8,Unfortunately this is an error in the documentation. We no longer support S3 paths directly as the output for files. I’d recommend you write to your local ec2 instance storage and upload to S3 as a separate step. Or, you can try using EFS storage, which is more suited for these read/writes.This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
7,problem-with-gpu,"According to this userguide Running Parabricks on AWS - NVIDIA Docs, the ec2 instance type should be “g4dn.4xlarge”. I followed and when executing the germline pipeline, I received this error:So I change the instance type to “g4dn.8xlarge”, and got a new error:What should I do now?Hey @huyen.nguyen,There could be a few causes for this error. You are using the g4dn.4xlarge machine which has GPUs so that is all correct. Which AMI are you using? It could be that there is no driver or an incompatible version of cuda is on the machine.Can you also run nvidia-smi on this machine and verify that the GPUs are usable?Thank you!Hi Gburnett,I used a “Deep Learning’ AMI but I don’t remember which one but I am sure it supports g4 instances.However, if I type the command ‘nvidia-smi’ it says the command does not exit. Does that mean the gpu driver is not installed?ThanksCan you share output of:
sudo lspci | grep -i nvidiaAnd this command:
sudo docker run --rm --runtime=nvidia --gpus all nvidia/cuda:11.6.2-base-ubuntu20.04 nvidia-smiHiI am trying to run fq2bam using this tutorial here: Tutorials - NVIDIA DocsI wanted to check if the moderator @gburnett and/or @andjoseph have tried out the stuff as mentioned in those tutorials on an AWS g4dn.12xlarge or any AWS g4 machine.As experienced by @huyen.nguyen,  I am also getting a similar error - I am using g4dn.12xlarge and nvidia/clara/clara-parabricks:4.1.1-1Here is the nvidia-smi infoThis is the stderr of the fq2bam jobHowever, if I use nvidia/clara/clara-parabricks:4.0.1-1, the above runs fine. Hence, something is wrong with 4.1.1-1For the sake of completeness, here is the output when using nvidia/clara/clara-parabricks:4.0.1-1As evident from nvidia-smi from both the above runs:nvidia/clara/clara-parabricks:4.0.1-1 is using CUDA 11.7nvidia/clara/clara-parabricks:4.1.1-1 is using CUDA 12.0so - it could very well be that the CUDA version 12.0 is causing these particular issues with nvidia/clara/clara-parabricks:4.1.1-1Hi,The latest version of Parabricks’s fq2bam requires 24GB of memory.
Can you please try running with --low-memory option?BestHi @mdemouthBased on your suggestion, I tried this  below with nvcr.io/nvidia/clara/clara-parabricks:4.1.1-1  and get this errorHi @mdemouth @gburnettI now tried this with nvcr.io/nvidia/clara/clara-parabricks:4.1.0-1 and I get this error [src/PBCuBGZFWriter.cu:590] CUDA_CHECK() failed with out of memory (2), exitingFull log message:Let me know if you need additional info.Hi @avenkatraman,Please try without using--gpusort --gpuwrite with T4.HI @mdemouth ,Does use --low-memory affect the output?Hi @mdemouthWhere does --gpusort --gpuwrite come in handy then? The nvidia docs for fq2bam best performance suggest their usageI am trying this out on a g4dn.12xlarge which has 4gpus 48cpus 192GiB mem and 900GB NVME SSD - I am using docker and nvcr.io/nvidia/clara/clara-parabricks:4.1.1-1As you can see from the below pb_fq2bam finishes the BWA-MEM portion of it,  but errs out during MarkDuplicates, BQSR with some CUDA errorsThanks.Powered by Discourse, best viewed with JavaScript enabled"
8,monai-label-community,"Check out the MONAI Label community forum for support: Issues · Project-MONAI/MONAILabel · GitHubPowered by Discourse, best viewed with JavaScript enabled"
9,pb3-8-installation-error-dssg-doesnt-exist-in-the-container,"When intalling the pb3.8 with singularity, an unexpected error “/dssg doesn’t exist in the container”. Here is a screenshot.

7a01527e7a7ae90f69888ca90a0ec511395×1066 43.8 KB
PS: The host OS is CentOS 8.3.2011.
Thanks .Hey @lkuang,It looks like it’s having troubling mounting to that location. Can you share the command you used to run the installer and can you maybe try to ls that mount directory (/dssg/home/…) to make sure it exists.Thanks!Hi @gburnett,Thanks for you relpy.
The screenshot shows the installation command (cmd), the directory, etc.

16564694270561920×1150 274 KB
The /dssg is actually the physical directory.It is confirmed the singularity setup make the container mount the directory automatically.  After unseting it, now parabricks can be installed correctly.This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
