,query,data
0,is-it-possible-to-perform-cfd-computational-fluid-dynamics-simulations-using-omniverse-tools,"As the Modulus OV extension is presently paused for development according to MODULUS with 2022.3.3 versionI even bought the course on the NVIDIA platform: “Introduction to Physics-informed Machine Learning with Modulus”Then, I ask:Is it currently possible to perform CFD simulations with Omniverse? Could you enlighten me if it is possible to use Omniverse for CFD simulations and how can I do this?Thank you in advance
Best regardsPowered by Discourse, best viewed with JavaScript enabled"
1,how-to-edit-a-pivot-point-on-an-object,"Hi, I’m trying to figure out how to edit a pivot point on a object.
Example, like adjusting a pivot point so I can rotate a door on it’s correct axis.I can’t seem to find the pivot tool on Machinima. Does anyone know?Hello @Wintoons!  I’ve been told that we will be adding the ability to edit pivot points in Create version 2022.2.  As an extension, it should be available for use in Machinima, but I am asking the dev team to confirm.Just got confirmation!  The Pivot Adjustment Tool will work in Machinima as well!That’s great news to hear! I actually figured how to, if you select the prim object and go to Add and then TransformOp and select pivot, you can then edit the pivot that by changing the XYZ coordinates.But if they adding an extension to adjust the pivot points that will be very handy.
Thanks for your help, Wendy! :)MachinimaWhat’s the name of the extension?   “Metrics assembler UI”?  But can not find the “Metrics assembler UI” in extension list now?Powered by Discourse, best viewed with JavaScript enabled"
2,robot-reset-failing-if-in-contact-or-simultaneously-resetting-object-since-v2022-2-0,"Hi,I am using RL to train on a robotic task. For this I set the robot to the center of a small room and spawn obstacles in random positions around it. At reset, the object positions are changed withwhere self._obstacles is an XFormPrimView.
The robot is reset withwhere dof_pos are default joint values and 0s for the base joints. Both these calls are issued, then a physics step is taken. The new robot position is guaranteed to be free of any obstacle.This worked well in 2022.1.1, but sometimes fails in 2022.2.0 and 2022.2.1. It seems to fail in two cases:
a) the robot is in contact with an obstacle when resetting - see image 1 before reset, 2 after reset. The robot position is set to the center of the room, but instead the robot seems to fly off somewhere (outside the images)
b) an obstacle is being reset to the last position of the robot before the reset - see image 3 before reset, 4 after reset
My guess is that something changed in the physics, such that simultaneously resetting these objects no longer works. Could this be the case? As I mentioned, the exact same code worked well before.This reset logic follows the OmniIsaacGymEnvs repository. Do you have any tipps how to remedy this? Are there any settings or object properties I could change to make this work? Or how / in what order should I do a reset in this scenario?
Screenshot from 2023-04-02 13-12-041342×1183 75.4 KB


Screenshot from 2023-04-02 13-11-461350×1206 76.3 KB


Screenshot from 2023-04-02 13-11-121324×1107 61.8 KB


Screenshot from 2023-04-02 13-10-261326×1093 56.9 KB
Hi there, this sounds like the correct approach to reset the objects and robot. Are you also setting the root transforms of the robot at reset?No, I’m not touching the root transform, i.e. never calling self._robots.set_world_poses(), this should remain unchanged at the original position (set by the gridcloner)Can you try explicitly resetting the world poses to its original values at reset time to see if that helps? We’ve recently discovered that not resetting root transforms may cause large errors in the joints pre and post reset in the physics solver, it’s possible that this may be related.Thanks for the suggestion. unfortunately resetting the robot root (self._robots.set_world_poses(*self._robots.get_world_poses())) leads the simulator to fail. I think for some reason this moves the robot into some invalid position. So I can’t quite test this hypothesisWhat I did find is that the initial problem disappears if I add the obstacles as a RigidPrimView instead of an XFormPrimView. The downside of this is that now the obstacles also collide with each other, meaning I either have to put a lot of work into ensuring that they do not collide or write my own custom collision filter. I’m also not sure if this comes with additional computational overhead. My aim was to just have some static obstacles with minimal simulation dynamics, which the XFormPrimView seemed to fulfill (until the update to the latest version)Lastly, trying the version with RigidPrimView and custom collision filter, most of the time it works fine, except for some rare cases in which the robot is suddenly able to drive through some of the obstaclesIf you are using rigid bodies, you can enable kinematic on the rigid bodies so that they do not behave physically.rb = UsdPhysics.RigidBodyAPI.Get(stage, prim)
rb.CreateKinematicEnabledAttr().Set(True)Unfortunately this for some reason also leads the simulation to crash. Though also from the description it sounds like that would disable all physical collisions? We would still like to have it collide with the robotBut otherwise I can also live with using the RigidPrimView with my custom collision filter. Seems to work alright for our current purposes.Hi, there seems to be a larger issue with collisions when setting multiple object poses in the same stepI am now running a different task setup with a robot and a single articulated object. During reset I (i) set the robot position and robot joint values and (ii) set the articulated object positions and joint values with articulation.set_joint_positions() and articulation.set_joint_velocities(). Both the old and the new positions of robot and articulated object are far apart and cannot be in collision. I have also checked the collision boxes for both and they match the visuals of the objects pretty much perfectly.Sometimes (not everytime) this leads to the following:This does not happen with e.g. a DynamicCuboid instead of the articulated object. But it happens as soon as I add a second Articulation & ArticulationView such as the articulated object above or the franka robot (omniisaacgymenvs.robots.articulations.franka). I have also tested it with a different robot than the PR2, the result is the same, making me confident that it is not related to the collision meshes of any of these objects.Furthermore, it also still happens if I do not set any state of the articulated object in the reset, but only callIn particular it seems to be related to self._robots.set_joint_positions(dof_pos.clone(), indices=indices) (tested by commenting out each of the commands above)Lastly, this only happens on the GPU. If I set use_gpu_pipeline: False and use_flatcache: False (as defined by OmniIsaacGymEnvs) this does not occur.@kellyg Are you aware of this happening in other cases? Is there something in the order of the calls that I can change to circumvent this?Hi there, the set_joint_positions API will also call set_joint_position_targets as it’s required to set both when setting the positions of joints. Therefore, you do not need an additional call to set_joint_position_targets.Thank you for letting me know @kellyg , I have removed the unnessary function call.Unfortunately, that does not solve the issue with the contacts. I was previously told that Nvidia is planning to release a new version in June. Do you know what the current status on that is? Would be super helpful for our planning.Thanks for you help!The next release is currently planned for August. Sounds like the issue may be a bug with the GPU pipeline. In order for us to repro this, do we require 2 articulations in the scene, then setting the root and joint states for both simultaneously?Hi @kellyg , thank you for the update.Regarding the issue, I find it hard to produce a simple setting to reproduce it. In general it seems to happen with:But it does not always happen and not with all robots / articulations. It may indeed be the GPU pipeline, though I cannot confirm for certain.Trying to find a reproducible, simple case, things start to behave weirdly before I even get to this point. In the attached file I use assets from nvidia. If device = ""cpu"", everything behaves fine (robot standing still, correct joint values being set). If you change it to device = ""cuda"", the robot starts moving without getting any commands - this also happens without a second articulated object. If at the same time we spawn a cabinet, the robot starts to fly around - no idea why,While this is not the exact same issue, it seems very related. If I spawn a different articulated object, that I did not include as it’s based on much more files, the robot does not start flying, but the object doors always open after resets etc. - while on CPU the joints get set to the correct state and then do not move any further.
All these issues seem somewhat related to me. The python files are attached in the zip file below.
testcase.tar.xz (5.2 KB)Your help would be greatly appreciated! I am really, really struggling to use the simulator at this point and have run out of ideas on how to make the physics behave in a stable manner.Thanks for providing the repro scripts. I tested the scripts on our latest internal version of Isaac Sim and I did not observe any issues. The behaviour was the the same with device set to “cpu” and “cuda”, and I didn’t get any undesired movement of the robot with the GPU pipeline. It’s likely that the issue has already been fixed and will be made available in the next Isaac Sim release.Thanks for the quick reply. Fingers crossed then!Powered by Discourse, best viewed with JavaScript enabled"
3,the-issue-pertains-to-a-memory-leak-that-arises-when-employing-the-delete-prim-and-create-prim-functions,"Hi,When I employ the “delete_prim” function, GPU memory doesn’t reduce before deleting assets.
I think this problem caused by add ArticulationPrimView or RigidbodyPrimView…
How I can remove the memory leak after delete_prim?Hi @gwangin -  The delete_prim function in Isaac Sim deletes the primitive from the scene graph, but it does not immediately free up the GPU memory. The GPU memory is managed by the graphics driver and it is not directly controllable by the application. The driver decides when to free up the memory based on its own memory management strategy.Use the unload_asset function to unload the asset from the asset manager. This will free up the memory used by the asset.Use the destroy function to destroy the ArticulationPrimView or RigidbodyPrimView. This will free up the memory used by the view.Use the gc.collect() function in Python to force a garbage collection. This can help to free up the memory used by the Python objects.If you are using a lot of textures or materials, try to reduce their resolution or complexity. This can significantly reduce the GPU memory usage.Powered by Discourse, best viewed with JavaScript enabled"
4,memory-leak-with-omniisaacgymenv,"Hello,
I have been doing some trainings with OmniIsaacGym and there’s always quite a big RAM memory leak during training, which persists even after I cut the python process I launched.  I have to restart my computer after around 20 / 30 launches of the training script i’d sayIt’s the first time I’m seeing a leak persisting AFTER killing the process.Where does it could come from and what can I do to prevent it ?Regards.Powered by Discourse, best viewed with JavaScript enabled"
5,sementic-type-on-face-in-a-mesh-prim,"Hi
Is there an approch to set semantic types of different faces in a mesh prim, instead of the whole prim?
I’d like to generate segmentation map like facial parsing via Replicator.Thanks for reading this :)Hello @AlanHuang! Great question and a great candidate for a new tutorial. Unfortunately, we’ve discovered that GeomSubset segmentation is broken in current releases and are working to provide a fix ASAP for the upcoming release updates.Thanks for reply!
Looking forword to it :)Powered by Discourse, best viewed with JavaScript enabled"
6,omniverse-kit-unit-tests-pass-but-set-fails,"Something strange is going on with the unit tests in my extension. The tests all pass but then the run fails. I stripped it down to 1 basic test that passes. And the set still fails . I have attached the log.
kit_20230803_165236.log (152.5 KB)
Any help is appreciated.Powered by Discourse, best viewed with JavaScript enabled"
7,do-you-have-a-plan-to-also-convert-quilts-to-om-instead-of-only-solid-parts,"Do you have a plan to also convert “Quilts” to OM instead of only “solid parts”?Powered by Discourse, best viewed with JavaScript enabled"
8,cant-install-maya-legacy-connector-200-4,"Hi,
I when I update the connector from versions 1.xxx to 2.xxx it dissapears from Maya 2023.I tried reinstalling it from the scratch multiple times with and without the bifrost and usd plugins installed. I also did multiple clean reinstallation of the whole Omniverse package. Still no luckKarol@karol.osinski
Are you trying to have two versions of the Maya Connector installed or only Maya Legacy Connector v200.4?We have added a feature to the installation process that only one version of the Maya Connector is installed so previous versions are removed/uninstalled when the new version is installed. Is it possible this is the issue your are running into?Hi @kecollins  thanks for your response!I always uninstall the previous version before updating it to the newer one.This is pretty annoying. All other connectors install seamlessly, Maya is the only one I have had an issue with. I’ve un/reinstalled 3 times and even tried installing on a new computer and it still gives the same error message: Autodesk Maya is currently not installed. How fix? I need to get to work =(The Maya Connector needs registry information to find out Maya 2023/2024 installation path. Maybe your Registry is different. Then you can create this registry key and make the Maya Connector find it.
And you do not have to uninstall Maya Connector via Launcher. You can go to the Maya Connector installed path and run MayaSetup.exe after you add the registry key.
As a reference, this reg file is generated based on my Registry key. You can modify it in a plain text editor to fit your Maya and write it to registry.
Maya2023-2024Path.reg (626 Bytes)If Maya Connector fails to install via Launcher because of Maya missing issue, you can create the above Registry first and then install Maya Connector via Launcher.I hope your friends tell you how dope you are everyday.  Easiest fix ever, Thanks!Glad that it fixes your problem. If you have time, can you tell me what is the Registry path of Maya installation path on your PC? I do not know that Autodesk Maya makes it different on some PCs.Powered by Discourse, best viewed with JavaScript enabled"
9,unreal-engine-speech-audio-to-audio2face,"Hi,Is there a way to send audio data to Audio2Face?Hello and welcome to the forums @mark243Here are a couple of way to send audio to Audio2Face:Overview of Streaming Audio Player in Omniverse Audio2Face - YouTubeAudio2Face Headless and RestAPI Overview - YouTubePowered by Discourse, best viewed with JavaScript enabled"
