,query,data
0,a-droplet-evaporation,"HiI would like to simulate evaporation time for a droplet under forced-convection, using SimNET
I referred to the heat-sink example for problem setting becasue basic physics is similar
however, for the evaporation, boundary is changing as a droplet becomes smaller
in such case, how should i set up boundary conditions ?
could you give me a clue or recommend examples i should take a look ?thanksHello,This sounds like a great problem! I may need some extra information about your problem to answer though. You can parameterize geometric properties in time. We don’t have any example of this but if you look in the wave equation example you can see how to do transient simulations. Then if you see the 3D parameterized 3 fin example you will see that you can parameterize the geometry with arbitrary values. Basically you will just use the t Symbol to parameterize the geometry. This can allow you to have time dependent geometric boundary conditions.It could be that you are looking to two way couple the droplet size to the thermal simulation. If this is the case then it is not entirely obvious how to do this in SimNet yet. This would actually require changing the geometric boundary condition based on the current simulation solution. This may not be possible in SimNet yet.Hi there!
Working on a similar problem over here.So if my geometry depends on let’s say a variable width, should I write:
width =Function(“width”)({“t”: t_symbol})And then just use the width variable when building my geometry?Sorry for the late reply, you can parameterize the geometry by giving a symbol t for the paramaterized quantities. For example, this code would give a circle parameterized by t.I should note that there is also a paper here that solves boundary free problems similar to what you are describing [2006.05311] Deep learning of free boundary and Stefan problems. In the up coming release we should be able to implement approaches like this however we will not have an example problem for boundary free problems yet.Hello,Is it possible now on Modulus 22.04 to implement moving boundary conditions? I tried to implement the Stefan problem in this paper on Modulus 21.06 and cannot couple the variables.Powered by Discourse, best viewed with JavaScript enabled"
1,cannot-git-clone-modulus,"As title, always get "" You will receive an email from GitLab with instructions on accessing the [Modulus Gitlab repository]"" but never receive any email.My user account is xunger.Many thanks.Hi @huangxunHow did you get this email? Was this from a few weeks back?We have moved the repos completely to Github where there are no access constraints. Thanks!Thanks. Issue resolved.This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
2,add-grid-points-manually,"I am trying to run a physics problem wherein only specific grid points are to be used for training the model with PDE based loss. In Modulus, the problem geometry needs to be defined, which is used to sample the points for training the model (correct me if I am wrong here). Is there a way to select the training points inside the geometry manually without being sampled automatically?To be more precise, I want to construct a 1D domain with a circle centred at each x-location. I tried parameterizing the x-location of centre of circle with symbol ‘x’. But this approach resulted in an error. Is there a way to specify circle at each point on a 1D line which will be sampled by Modulus for training? Can this be achieved without manually constructing the grid? If not, then how can the construction of grid be achieved?Hi @shubhamsp2195For manually specifying input points I would suggest building a dictionary of numpy arrays or CSV file with the points you want to sample was well as the target values.You can then use some of Modulus’ utilities to then construct a constraint:We do this a lot for validation where we have data on a discrete set of points rather than a continuous domain (E.g. see the annular ring example).Thank you @ngeneva for your your quick reply to my query. I apologize if my question was not clear in my previous post. I am trying to use loss based on PDEs only (no data-driven loss) which would mean that there are no target values to be specified in the dictionary of numpy arrays or CSV file(mentioned in your reply to first query). Is it possible to sample points for training in this unsupervised setting? This is how my domain looks like.I want to construct a 1D domain with circles centered at each x-location of this domain. I tried parameterizing the x-location of center of circle with symbol ‘x’. The circles themselves must have a cloud of points which can be sampled randomly. But this approach resulted in an error. Is there a way to specify circle at each point on a 1D line which will be sampled by Modulus for training? Can this be achieved without manually constructing the grid? If not, then how can the construction of grid be achieved?It would be better if I am more direct in this case. The problem that I am trying to tackle is the psedo-2 dimensional model of Li-ion battery (Newman, Doyle, 1995) wherein spherical active particles are present at each x-location of 1D domain. 5 PDEs are solved in the 1D domain and one PDE is solved in the spherical particle located at each point on 1D domain. These two systems of PDEs are coupled through boundary conditions. Following is the rough figure for reference.Hi @shubhamsp2195I am trying to use loss based on PDEs only (no data-driven loss) which would mean that there are no target values to be specified in the dictionary of numpy arrays or CSV file(mentioned in your reply to first query). Is it possible to sample points for training in this unsupervised setting?Even for PDE loss training you have target values. These target values end up being the PDE residual being equal to zero. So using the the PointwiseConstraint.from_numpy() method, an example would be maybe I would have:this is still training with just PDE losses.I want to construct a 1D domain with circles centered at each x-location of this domain. I tried parameterizing the x-location of center of circle with symbol ‘x’. The circles themselves must have a cloud of points which can be sampled randomly. But this approach resulted in an error. Is there a way to specify circle at each point on a 1D line which will be sampled by Modulus for training?While I have not done this set up myself, I would image it is achievable using the geometry module. You could parameterize the center point of the circle. Then, in your constraint or geometry object, use the parameterization argument to define some sample range this center point could exist. If you can get this to work, the geometry module is well suited for these type of problems. There’s an example of this parameterization for a circle in the geometry section of our docs.Thank you @ngeneva for sharing this information. I will try to implement my problem along similar lines.Hi @ngeneva
This information helped me create a grid manually for my problem. I was trying to extend this to multidimensional arrays of the formBut the execution is stalling before the training startsThe execution does not proceed after this point. I waited for more than an hour.This issue is not present when 1D arrays are used for specifying constraintsIs it because multidimensional arrays are not supported in modulus constraints?Hi @shubhamsp2195That is correct. Modulus looks at training points without any underlying structure. This makes sampling training points from arrays and continuous geometry the same under-the-hood. The first dimension is treated at the number of training points you have, and the second is the dimensionality of that variable (typically 1). So you should always flatten your input arrays to [N,1].Hi,I am thinking of using my OpenFOAM / Pointwise generated grids as collocation /training points so that the collocation points can be clustered together better to the wall boundary. So can use the above recommended method to do so?Thanks.Based on the above hints, I have tried 2 approaches to using my own points for training:Error executing job with overrides: 
Traceback (most recent call last):
File “FX63-180_2_element_airfoil2.py”, line 420, in run
OF_grid = PointwiseConstraint.from_numpy(
File “/home/users/nus/tsltaywb/.local/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/domain/constraint/continuous.py”, line 178, in from_numpy
dataset = DictPointwiseDataset(
File “/home/users/nus/tsltaywb/.local/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/dataset/continuous.py”, line 35, in init
super().init(invar=invar, outvar=outvar, lambda_weighting=lambda_weighting)
File “/home/users/nus/tsltaywb/.local/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/dataset/dataset.py”, line 99, in init
self.lambda_weighting = Dataset._to_tensor_dict(lambda_weighting)
File “/home/users/nus/tsltaywb/.local/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/dataset/dataset.py”, line 49, in _to_tensor_dict
tensor_dict = {
File “/home/users/nus/tsltaywb/.local/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/dataset/dataset.py”, line 50, in 
key: torch.as_tensor(value, dtype=tf_dt, device=device)
File “/home/users/nus/tsltaywb/.local/lib/python3.8/site-packages/sympy/core/expr.py”, line 325, in float
raise TypeError(“can’t convert expression to float”)
TypeError: can’t convert expression to floatError is:Error executing job with overrides: 
Traceback (most recent call last):
File “FX63-180_2_element_airfoil2.py”, line 424, in run
outvar={‘momentum_x’: np.zeros(of_grid_n, 1), ‘momentum_y’: np.zeros(of_grid_n,1)},
TypeError: Cannot interpret ‘1’ as a data typeAny suggestion on how to solve the problem?Hello @tsltaywb
As highlighted by @ngeneva , the arrays must be flattened to the shape (N,1) before using them as input and output variables in PointwiseConstraint.from_numpy()  function. It seems like the arrays “of_grid_x” and “of_grid_y” have a different shape altogether.Hi @shubhamsp2195,Thanks for the reply. What I did is that I loaded my OpenFOAM grid, then I separate them into the x and y coordinates (of_grid_x and of_grid_y).Their shape are:of_grid_x.shape = (92260, 1)
of_grid_y.shape = (92260, 1)So doesn’t it mean that they’ve been flattened to the shape (N,1)?Hi @tsltaywbThe error listed in your post above TypeError: Cannot interpret ‘1’ as a data type looks like a Numpy API error. I believe your use of np.zeros is incorrect. Unlike PyTorch the shape needs to be in a tuple.E.g. np.zeros((of_grid_n,1)) not np.zeros(of_grid_n,1)Thanks @ngeneva  I made the change and now got the error:In the end, I managed to get rid of it by removing:I wonder why I had to remove it . Will it affect the accuracy of the training?Also, is there any way to check that the grid has been correctly used?Powered by Discourse, best viewed with JavaScript enabled"
3,running-into-errors-with-helmholtz-py,"Traceback (most recent call last):
File “helmholtz.py”, line 3, in 
import modulus
File “/home/datascience/conda/nmodulusv1_0/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/init.py”, line 7, in 
from .hydra.utils import main, compose
File “/home/datascience/conda/nmodulusv1_0/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/hydra/init.py”, line 1, in 
from .utils import (
File “/home/datascience/conda/nmodulusv1_0/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/hydra/utils.py”, line 18, in 
from modulus.models.arch import Arch
File “/home/datascience/conda/nmodulusv1_0/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/models/arch.py”, line 6, in 
import functorch
File “/home/datascience/conda/nmodulusv1_0/lib/python3.8/site-packages/functorch/init.py”, line 13, in 
from . import _C
ImportError: /home/datascience/conda/nmodulusv1_0/lib/python3.8/site-packages/functorch/_C.so: undefined symbol: _ZN3c105ErrorC2ENS_14SourceLocationESsHi @santosh.kumar.ramarathnamSeems this is an issue arising from functorch, is this using the docker image? I see you’re in a Conda environment so I would focus on getting functorch working in your Python environment before running Modulus.Also what operating system are you using?Powered by Discourse, best viewed with JavaScript enabled"
4,modulus-release-22-09-git-lfs-pull-fails-for-the-helmholz-validation-example-csv-file-with-invalid-cross-device-link,"Hi,In Modulus release_22.09 I’m trying to pull a git LFS Modulus example file and it failsCan someone help with this? Thanks!Everything runs fine if my examples folder is in $HOME/modulus.Hi @maricThis looks like an issue related to where (the hardware location) you’re trying to clone the examples repo. I would just clone the examples repo from scratch in a different spot. If this isn’t possible I would suggest you do some digging on why this would show for Git repos in general. Some stack overflow questions may lend some insight.Yep, I cloned the repo in $HOME/modulus, this works, see my answer from Nov 3 above, thanks for the hints!This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
5,modulus-docker-image-23-05-update,"The latest Modulus docker image (23.05) does not have the recent updates in Modulus Git repository. The modulus examples such as vortex_shedding_mgn do not work with this image and need modification. What is the expected timeline for releasing the new version of the docker image with recent updates?ThanksHi @parisaPresently we plan for a quarterly release cycle of the docker container. This may be offset with some intermediate wheel updates. Some immediate options are to build / modify the current docker image on NVCR, build your own docker container using the docker files in the Github repos, pip install from source in a python environment.Powered by Discourse, best viewed with JavaScript enabled"
6,where-to-get-the-example-of-graphcast,"Hello, I saw an example of GraphCast in the update of Modulus, but I can’t find this example. Can you tell me where I can see it? Thanks in advance.
image1307×830 63.4 KBHi @978982001The graphcast training example can be found in Modulus Launch. Presently this in a bit of a beta state, so complete documentation is forthcoming. Thanks!Powered by Discourse, best viewed with JavaScript enabled"
7,problem-with-bare-metal-install-for-22-09-in-wsl-cuda-graphs-may-only-be-used-in-pytorch-built-with-cuda-11,"Hi,I have problems with docker in WSL for 22.09. Hence, I tried to do a bare metal install. I tried to run the helmholtz example. It ran for a few steps but gave the error:So how can I solve this error?Thanks.Hi @tsltaywbTry turning cuda graphs off in the config.yaml file by adding: cuda_graphs: False.Have a look at helmholtz/conf/config_hardBC.yaml as an example with this setting. This will disable cuda graph compiling. Keep in mind Cuda graphs is a beta feature in PyTorch so support may be limited like seems to be the case here.Hi,I have the same problem as @tsltaywb but, in my case the file config_hardBC.yaml was already modified with the solution you expressed. The problem persists even if i change cuda_graphs: True , so it looks like this is not the source of the problem.I have CUDA 11.3 and the correct version of pytorch (installed from this link with conda).How can i solve?ThanksHi @tom_02Its not 100% clear what your problem is. The original post is specifically regarding a Cuda graphs error which should not appear with cuda graphs off.To shut if off, you need to edit the config for the example you are running (for example, for this issue in the original post this needs to be added to examples/helmholtz/conf/config.yaml). The hardBC config is for helmholtz_hardBC.py.Let me know if helmholtz.py does not run after modifying the correct config file.Thanks, this worked for me.Powered by Discourse, best viewed with JavaScript enabled"
8,parameterized-geometry-linear-elasticity,"Hello,
I am trying to solve the linear elasticity for parameterized geometry. My usecase is a cantilever beam where the length, breadth, height are varied. Thus the geometry has 3 parameters namely L, B and H. From the three-fin tutorial example, I see that the geometry dimensions are just added as additional features along with the spatial inputs namely (x,y,z) coordinates. Linear elasticity physics loss function needs to compute the gradients of displacement and stress with respect to the input. In our case, the inputs are (x,y,z,l,b,h)
If the geometry is definied as parameterized in Modulus, does it automatically apply the chain rule to compute the derivates?
for example if the output of the network is displacement u,
du/dx = du/dL * dL/dx + du/dw * dw/dx + du/dh * dh/dx
In other words, how are the dimensions of the geometry considered in the Physics residual loss computation thereby it generalizes.
ThanksHi @k.narayananFor learning systems with parameterized geometry using a point wise methods, our examples use a explicit parameterization where  these params are model inputs as you mentioned. That means the output quantity is directly related to the current geometry. For the 3-fin example see the list of inputs here.Because the inputs of the neural network are partly the geometry parameterizations, the PDE loss depends on them since they are used to calculate the state variable which is needed for gradients as well. While unlike the spatial point inputs, we may not have explicit gradients of these terms they still impact the optimization akin to normal data-driven training.Powered by Discourse, best viewed with JavaScript enabled"
9,reflecting-periodic-boundary-condition-in-modulus,"Hello all,I am struggling with some problem making PDE solver by implementing PINN using modulus.Is it possible to implement some reflecting or periodic boundary conditions in Modulus?For example, u(-1,t) = u(1,t) and u_x(-1,t) = u_x(1,t)I tried to implement with tutorials but it fails…https://docs.nvidia.com/deeplearning/modulus/user_guide/notebook/notebook.htmlI am proceeding on my work based on the code above.Any suggestions, links, or advice would be highly appreciated.Thanks.For periodic boundaries some of our models support periodic inputs. The idea is to transform the input to the NN using a sinusoidal function so the inputs are always periodic.Some examples that use this technique are the 2D channel flow and Taylor Green problems in the user-guide.Thank you! I’ll try it and solved.This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
