,Question,Answer
0,What is Kit?,"Kit is a platform for building applications and experiences. They may or may not have much in common. Some of these may use RTX, omni.ui, or other libraries to create rich applications, while others may be cut-down windowless services."
1,What is the main goal of Kit?,"The main goal of Kit is to be extremely modular, where everything is an extension."
2,What is an Extension in Kit?,"An Extension is a uniquely named and versioned package loaded at runtime. It can contain python code, shared libraries, and/or Carbonite plugins. It provides a C++ API and a python API. Extensions can depend on other extensions and can be reloadable, meaning they can be unloaded, changed, and loaded again at runtime."
3,How does an Extension contribute to Kit-based Applications?,"An Extension is the basic building block of Kit-based Applications like Create, as it provides the necessary functionality and features to enhance the applications."
4,What is the Kit Kernel (kit.exe/IApp)?,"The Kit Kernel, also known as kit.exe/IApp, is a minimal core required to run an extension. It acts as an entry point for any Kit-based Application and includes the extension manager and basic interface, serving as the core that holds everything together."
5,What does the Kit Kernel include?,The Kit Kernel includes the extension manager and a basic interface that allows extensions to interact with the core functionalities of the Kit-based Application.
6,What does omni.kit.app (omni::kit::IApp) contain?,"omni.kit.app is a basic interface that can be used by any extension. It provides a minimal set of Carbonite plugins to load and set up extensions. It contains Carbonite framework startup, the extension manager, event system, update loop, settings, and a Python context/runtime."
7,What are the programming language options to interact with omni.kit.app?,omni.kit.app can be used with C++ using omni::kit::IApp or with Python using omni.kit.app.
8,What are Bundled Extensions in the Kit SDK?,Bundled Extensions are included extensions that come with the Kit SDK. They provide additional functionalities for the Kit platform.
9,Where can other extensions be found?,Other extensions can be developed outside of the Kit SDK and delivered using the Extension Registry.
10,What are Different Modes Example?,Different Modes Example shows different scenarios of using Kit-based Applications with various extensions and dependencies.
11,What are the different dependencies shown in the GUI CLI utility mode?,"In the GUI CLI utility mode, the dependencies include omni.kit.rendering, omni.kit.window, omni.kit.ui, omni.kit.usd, omni.kit.connection, and user.tool.ui."
12,What is a Kit file?,"A Kit file (ends in .kit) defines an Omniverse App. It behaves as a single-file extension and can be published, downloaded, versioned, and have dependencies."
13,How do you build an Omniverse App using a Kit file?,Building an Omniverse App is as simple as listing the extensions it should contain (extension dependencies) and the default settings to apply in the Kit file.
14,What is an example of a simple app in Kit?,"An example of a very simple app in Kit is the 'repl.kit' file, which includes a dependency and a setting applied to the 'omni.kit.console' extension."
